DATE,"Капитализация, млрд руб","EV, млрд руб","Выручка, млрд руб","Чистая прибыль, млрд руб","Див доход, ао, %","Дивиденды/прибыль, %",P/E,P/S,P/BV,"ROE, %","ROA, %",EV/EBITDA,"Рентаб EBITDA, %",Долг/EBITDA
2013-12-31,3 291,4 403,,,0.0%,,,,0.36,0.0%,,,,
2014-03-31,3 208,4 178,1 555,224.0,0.0%,0%,14.3,2.06,0.34,2.3%,1.6%,7.09,37.9%,1.65
2014-06-30,0.00,993.0,,,,,0.00,0.00,0.00,2.3%,1.6%,1.69,,1.69
2014-09-30,0.00,1 264,1 140,105.6,,0%,0.00,0.00,0.00,3.4%,2.3%,1.19,41.8%,1.19
2014-12-31,3 172,4 821,,-397.0,0.0%,0%,-47.1,1.18,0.33,-0.7%,-0.4%,4.52,,1.55
2015-03-31,3 288,4 736,1 648,382.0,0.0%,0%,36.3,1.18,0.32,0.9%,,4.47,35.4%,1.37
2015-06-30,3 453,5 466,1 265,294.0,0.0%,0%,8.98,0.85,0.34,3.8%,,3.88,27.7%,1.43
2015-09-30,3 185,6 337,1 300,-2.00,0.0%,0%,11.5,0.76,0.31,2.6%,,4.45,37.8%,2.21
2015-12-31,3 222,5 305,1 867,113.2,0.0%,0%,4.09,0.53,0.35,8.4%,4.6%,3.04,17.2%,1.19
2016-03-31,3 498,6 392,1 737,362.0,0.0%,0%,4.56,0.57,0.32,6.9%,,3.98,25.6%,1.80
2016-06-30,3 303,6 223,1 327,245.0,0.0%,0%,4.60,0.53,0.31,6.6%,,4.14,18.8%,1.94
2016-09-30,3 193,5 373,1 257,102.0,0.0%,0%,3.88,0.52,0.30,7.6%,,4.08,24.0%,1.66
2016-12-31,3 659,5 592,1 790,242.0,0.0%,0%,3.85,0.60,0.33,8.6%,5.6%,4.23,18.3%,1.46
2017-03-31,3 028,5 071,1 815,333.0,0.0%,0%,3.28,0.49,0.27,8.2%,,3.82,24.8%,1.54
2017-06-30,2 805,5 097,1 395,48.0,0.0%,0%,3.87,0.45,0.25,6.4%,,3.58,24.6%,1.61
2017-09-30,2 893,5 532,1 432,200.5,0.0%,0%,3.51,0.45,0.26,7.2%,,3.72,25.5%,1.78
2017-12-31,3 089,5 487,1 905,132.8,6.2%,143%,4.32,0.47,0.27,6.1%,3.9%,3.74,16.2%,1.63
2018-03-31,3 369,5 779,2 138,371.6,0.0%,0%,4.48,0.49,0.28,6.3%,,3.51,29.5%,1.46
2018-06-30,3 338,5 772,1 833,259.2,0.0%,0%,3.46,0.46,0.27,7.9%,,3.08,31.2%,1.30
2018-09-30,3 849,6 475,1 930,386.4,0.0%,0%,3.35,0.49,0.30,8.9%,,3.21,26.2%,1.30
2018-12-31,3 634,6 649,2 323,438.8,10.8%,90%,2.50,0.44,0.28,10.9%,7.0%,2.56,38.4%,1.16
2019-03-31,3 542,6 388,2 292,535.9,0.0%,0%,2.19,0.42,0.26,11.9%,,2.46,27.5%,1.09
2019-06-30,5 512,8 068,1 785,301.0,0.0%,0%,3.32,0.66,0.41,12.2%,,3.19,27.8%,1.01
2019-09-30,5 348,8 205,1 622,213.0,0.0%,0%,3.59,0.67,0.39,10.7%,,3.43,22.8%,1.20
2019-12-31,6 070,9 238,1 960,153.1,5.9%,236%,5.05,0.79,0.43,8.5%,5.5%,4.97,18.4%,1.70
2020-03-31,4 304,8 043,1 740,-116.0,0.0%,0%,7.81,0.61,0.31,3.9%,2.5%,4.67,28.3%,2.17
2020-06-30,4 598,8 282,1 163,149.0,0.0%,0%,11.5,0.71,0.34,2.9%,1.8%,6.28,8.1%,2.79
2020-09-30,4 054,8 518,1 398,-251.0,0.0%,0%,-62.5,0.65,0.30,-0.5%,-0.3%,6.65,23.8%,3.48
2020-12-31,5 034,8 906,2 020,353.0,5.9%,84%,37.3,0.80,0.36,0.9%,0.6%,6.08,27.0%,2.64
2021-03-31,5 382,9 119,2 285,447.0,0.0%,0%,7.71,0.78,0.35,4.5%,2.9%,5.45,30.7%,2.23
2021-06-30,6 652,10 046,2 067,521.0,0.0%,0%,6.22,0.86,0.43,6.8%,4.3%,4.40,34.0%,1.49
2021-09-30,8 565,12 049,2 373,582.0,0.0%,0%,4.50,0.98,0.53,11.6%,7.3%,4.37,34.1%,1.26
2021-12-31,8 120,10 990,3 516,543.0,0.0%,0%,3.88,0.79,0.50,12.9%,7.7%,2.98,41.9%,0.78
2022-03-31,5 740,5 740,4 445,1 487,0.0%,0%,1.83,0.46,,,,1.92,0.0%,0.00
2022-06-30,4 888,4 888,2 546,1 027,24.7%,118%,1.34,0.38,,,,2.14,0.0%,0.00
2022-12-31,3 853,7 761,,,0.0%,,1.53,0.55,0.25,16.0%,9.6%,,,
2023-03-31,4 014,4 014,2 303,314.8,0.0%,0%,2.99,0.83,,,,,0.0%,
2023-06-30,3 954,9 277,1 811,-18.6,0.0%,0%,13.4,0.96,0.25,1.8%,1.1%,7.55,67.8%,4.33
LTM,3 931,9 254,4 114,296.2,0.0%,0,13.3,0.96,0.24,1.8%,1.1%,7.54,29.8%,4.33
